"","lamsim","nsamp","npers","totsamp","alpha","meanlamest","stddevlamest","stderrlamest","pbiaslamest","nreps"
"72",0.1017,3,333,1000,0,0.1015,0.02845,0.00064,-0.22,2000
"73",0.1017,4,250,1000,0,0.1017,0.03092,0.00069,-0.03,2000
"74",0.1017,5,200,1000,0,0.1023,0.03243,0.00073,0.58,2000
"75",0.1017,6,167,1000,0,0.1003,0.0347,0.00078,-1.44,2000
"76",0.2071,2,500,1000,0,0.2061,0.0411,0.00092,-0.52,2000
"77",0.2071,3,333,1000,0,0.2082,0.04066,0.00091,0.49,2000
"78",0.2071,4,250,1000,0,0.2083,0.04205,0.00094,0.56,2000
"79",0.2071,5,200,1000,0,0.2073,0.04573,0.00102,0.07,2000
"80",0.2071,6,167,1000,0,0.2077,0.04947,0.00111,0.25,2000
"81",0.4308,2,500,1000,0,0.4293,0.05789,0.00129,-0.36,2000
"82",0.4308,3,333,1000,0,0.431,0.05688,0.00127,0.05,2000
"83",0.4308,4,250,1000,0,0.4301,0.06013,0.00134,-0.18,2000
"84",0.4308,5,200,1000,0,0.4323,0.06635,0.00148,0.34,2000
"85",0.4308,6,167,1000,0,0.4298,0.06909,0.00154,-0.25,2000
"86",0.6755,2,500,1000,0,0.6766,0.07223,0.00162,0.17,2000
"87",0.6755,3,333,1000,0,0.6776,0.07002,0.00157,0.32,2000
"88",0.6755,4,250,1000,0,0.6765,0.07482,0.00167,0.15,2000
"89",0.6755,5,200,1000,0,0.6777,0.0775,0.00173,0.32,2000
"90",0.6755,6,167,1000,0,0.6791,0.08606,0.00192,0.53,2000
"91",0.0201,2,1000,2000,0,0.0203,0.00818,0.00018,1.03,2000
"92",0.0201,3,667,2000,0,0.0202,0.00819,0.00018,0.64,2000
"93",0.0201,4,500,2000,0,0.0205,0.00888,2e-04,2.05,2000
"94",0.0201,5,400,2000,0,0.0207,0.00913,2e-04,3.15,2000
"95",0.0201,6,333,2000,0,0.0208,0.00987,0.00022,3.81,2000
"96",0.0403,2,1000,2000,0,0.04,0.01249,0.00028,-0.57,2000
"97",0.0403,3,667,2000,0,0.0401,0.01264,0.00028,-0.33,2000
"98",0.0403,4,500,2000,0,0.0399,0.01332,3e-04,-0.84,2000
"99",0.0403,5,400,2000,0,0.0406,0.01449,0.00032,0.92,2000
"100",0.0403,6,333,2000,0,0.04,0.01536,0.00034,-0.65,2000
"101",0.1017,2,1000,2000,0,0.1012,0.01982,0.00044,-0.47,2000
"102",0.1017,3,667,2000,0,0.1003,0.01982,0.00044,-1.35,2000
"103",0.1017,4,500,2000,0,0.1009,0.02132,0.00048,-0.84,2000
"104",0.1017,5,400,2000,0,0.1013,0.02307,0.00052,-0.43,2000
"105",0.1017,6,333,2000,0,0.1027,0.02454,0.00055,1,2000
"106",0.2071,2,1000,2000,0,0.2062,0.02909,0.00065,-0.46,2000
"107",0.2071,3,667,2000,0,0.2075,0.02758,0.00062,0.18,2000
"108",0.2071,4,500,2000,0,0.2082,0.03067,0.00069,0.53,2000
"109",0.2071,5,400,2000,0,0.2073,0.03302,0.00074,0.05,2000
"110",0.2071,6,333,2000,0,0.2067,0.03672,0.00082,-0.23,2000
"111",0.4308,2,1000,2000,0,0.4307,0.04098,0.00092,-0.03,2000
"112",0.4308,3,667,2000,0,0.4315,0.04007,9e-04,0.15,2000
"113",0.4308,4,500,2000,0,0.4301,0.04403,0.00098,-0.17,2000
"114",0.4308,5,400,2000,0,0.4309,0.04565,0.00102,0.02,2000
"115",0.4308,6,333,2000,0,0.4303,0.04927,0.0011,-0.13,2000
"116",0.6755,2,1000,2000,0,0.6763,0.05171,0.00116,0.13,2000
"117",0.6755,3,667,2000,0,0.6766,0.04993,0.00112,0.16,2000
"118",0.6755,4,500,2000,0,0.6752,0.05334,0.00119,-0.04,2000
"119",0.6755,5,400,2000,0,0.6766,0.05727,0.00128,0.17,2000
"120",0.6755,6,333,2000,0,0.6741,0.06071,0.00136,-0.21,2000
"121",0.0201,2,125,250,1,0.0263,0.02411,0.00054,31.27,2000
"122",0.0201,3,83,250,1,0.0258,0.02335,0.00052,28.5,2000
"123",0.0201,4,62,250,1,0.0262,0.0256,0.00057,30.32,2000
"124",0.0201,5,50,250,1,0.0261,0.02607,0.00058,30.28,2000
"125",0.0201,6,42,250,1,0.0272,0.0297,0.00066,35.6,2000
"126",0.0403,2,125,250,1,0.0428,0.0373,0.00083,6.36,2000
"127",0.0403,3,83,250,1,0.0442,0.0369,0.00083,9.64,2000
"128",0.0403,4,62,250,1,0.0448,0.03986,0.00089,11.21,2000
"129",0.0403,5,50,250,1,0.0449,0.04096,0.00092,11.55,2000
"130",0.0403,6,42,250,1,0.0442,0.04319,0.00097,9.86,2000
"131",0.1017,2,125,250,1,0.1005,0.05985,0.00134,-1.25,2000
"132",0.1017,3,83,250,1,0.1032,0.06317,0.00141,1.45,2000
"133",0.1017,4,62,250,1,0.1053,0.06692,0.0015,3.5,2000
